grid,r,phi,Z,mode
wide,11.325000000000001,0.16121242475256778,1.0051978891789204,0.01280359132165892
wide,11.375,0.15725242830256783,1.0049456652414108,0.012572744580435486
wide,11.425,0.1533828173378125,1.004705257730897,0.012346104852200937
wide,11.475000000000001,0.14960213456380078,1.004476159733209,0.012123601720116364
wide,11.525,0.14590889691104084,1.0042578812395593,0.011905165321084177
wide,11.575000000000001,0.1423016003305251,1.0040499490913257,0.011690726391282371
wide,11.625,0.13877872424710574,1.0038519068607308,0.011480216307500499
wide,11.675,0.13533873568507593,1.003663314675367,0.011273567124501307
wide,11.725000000000001,0.1319800930806264,1.0034837489939141,0.011070711608627722
wide,11.775,0.1287012497960424,1.0033128023398126,0.010871583267869186
wide,11.825000000000001,0.1255006573505585,1.0031500829990845,0.01067611637859556
wide,11.875,0.12237676838271763,1.0029952146879595,0.010484246009160198
wide,11.925,0.11932803935890338,1.002847836195448,0.010295908040566602
wide,11.975000000000001,0.11635293304245337,1.0027076010055163,0.01011103918438608
wide,12.025,0.11344992073742366,1.0025741769030656,0.00992957699810616
wide,12.075000000000001,0.11061748432068191,1.0024472455674873,0.009751459898081875
wide,12.125,0.10785411807556616,1.0023265021571717,0.009576627170254365
wide,12.175,0.10515833033987054,1.0022116548879738,0.009405018978793575
wide,12.225000000000001,0.10252864498041812,1.0021024246083041,0.009236576372814168
wide,12.275,0.09996360270596027,1.001998544373191,0.00907124129130625
wide,12.325000000000001,0.09746176222961285,1.0018997590193803,0.008908956566415074
wide,12.375,0.09502170129150284,1.0018058247432664,0.008749665925196754
wide,12.425,0.09264201755176478,1.0017165086832123,0.008593313989969847
wide,12.475000000000001,0.09032132936349524,1.0016315885075977,0.008439846277376019
wide,12.525,0.08805827643475153,1.0015508520097318,0.00828920919625624
wide,12.575000000000001,0.0858515203881694,1.001474096710592,0.008141350044442823
wide,12.625,0.08369974522627661,1.0014011294701888,0.007996217004561306
wide,12.675,0.08160165771009668,1.001331766108207,0.007853759138930497
wide,12.725000000000001,0.07955598765817196,1.0012658310344535,0.007713926383643372
wide,12.775,0.07756148817268622,1.0012031568895123,0.007576669541906172
